epoch,lr,train_accuracy,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_num_hits,train_origin_ce,train_weighted_f1,val_accuracy,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_num_hits,val_origin_ce,val_weighted_f1
1,0.001,0.6670181234467811,56.53927206993103,0.72703593912397,0.27513753191960144,0.13284313024194355,1.458270659053428,0.6585024193144126,0.6593202020537178,0.6642779103136035,1416011,0.7312347209410874,0.6604058730745271,0.6829245236645782,4.66860032081604,0.6897800569985649,0.25572829388939783,0.12530333660631565,1.3842285915868846,0.6785940031897585,0.6780353469559842,0.680956638010222,264467,0.6944485368005026,0.680108235039938
2,0.001,0.6845462358696366,57.07246732711792,0.6837230456383918,0.25746500135705247,0.12441004762987304,1.3717124287673907,0.6770463134641815,0.6784485876632794,0.6819790896726406,1416011,0.6879893826615943,0.678774927989242,0.6892126427871909,4.646467685699463,0.6779923647851849,0.25292146904439633,0.12281454306778603,1.3604211152509729,0.6844367828352985,0.6851133114804138,0.687250997996656,264467,0.6824287529031221,0.6858586541225804
3,0.001,0.6898089068517123,56.905933141708374,0.6727368652331799,0.252824942331694,0.12206013908853089,1.3497743701993004,0.6828516193532147,0.6842651127394044,0.6873377030052189,1416011,0.6770375057878247,0.6845061193313062,0.6943664048822726,4.968308925628662,0.6672116357776817,0.2550260309207666,0.12044704678462571,1.3398505424544198,0.6894983171736181,0.6900207832451835,0.6923491757430341,264467,0.6726389044272553,0.6909254684400574
4,0.001,0.6931457453367241,56.94557523727417,0.6659733655823763,0.24999445753854938,0.12058370451347455,1.3363793388227925,0.6866553832573832,0.6879013667215865,0.6907593515443556,1416011,0.670405973426069,0.688258430892903,0.6988130844301935,4.852371692657471,0.6622027051527839,0.2393668067774391,0.11895211236725824,1.329789210784229,0.6887235723465549,0.6967951757197538,0.6958966552505496,264467,0.6675865055632688,0.6903977260012604
5,0.001,0.6956316017319074,56.530195474624634,0.6611593549645808,0.24777455664954076,0.11955671637667495,1.3269040234346285,0.6895847090587282,0.6906352886443367,0.69332751627068,1416011,0.6657446690960811,0.6911422115651074,0.6994256372250602,4.806273937225342,0.6569154017161815,0.24965518395470132,0.11801292747924001,1.3191835864045671,0.6933058835527136,0.6964363722430704,0.6972240981811959,264467,0.6622681847619711,0.694775611333009
6,0.001,0.6976457103793685,56.855098247528076,0.6573230942314555,0.24626095236541243,0.11872209591902712,1.3192445407317528,0.6917684249898083,0.6927873916021213,0.6953751033302301,1416011,0.6619214454119315,0.6933033334227627,0.7005902437733252,4.5857322216033936,0.6533555047019887,0.24143703634086539,0.11738466019741117,1.3120328401984813,0.6956204660983579,0.6968764640561765,0.6985421309608086,264467,0.6586773358364731,0.6969988998098516
7,0.001,0.6992360935049233,56.79055643081665,0.6539999170192811,0.24488754726160625,0.11800899819840925,1.312622969833134,0.6934240034776112,0.6945245895615938,0.6969791595258332,1416011,0.6586230531461168,0.6949415497672559,0.702348497165998,4.931851863861084,0.6503995904837356,0.2432393821327636,0.1168023549337536,1.3061098308269827,0.6983764209213709,0.6987627859699256,0.7005489689161492,264467,0.6557102404063526,0.6996778651102076
8,0.001,0.7006951217186872,57.243937730789185,0.6513887989152971,0.24369066545622448,0.11747848052568999,1.3073778893149224,0.6951088291014259,0.696094645567341,0.6984830716643756,1416011,0.6559890895362906,0.6966027404446931,0.7040916257983038,4.836986541748047,0.6445535332317319,0.24065256895331655,0.11560135765252776,1.2947098678737263,0.6990659791869865,0.7011287756743808,0.7020295782611509,264467,0.6501563346050325,0.7004361288017074
9,0.001,0.7022367764092228,56.548574686050415,0.6487872355003449,0.2426062778737682,0.11686139238633211,1.3023547063726493,0.6967470812270017,0.6976952741754282,0.7000439439555404,1416011,0.6535674709840622,0.698229938363809,0.7026661171337066,4.916173934936523,0.6480553181091896,0.23730254987781,0.11632993771613194,1.3018943978496722,0.6980462422741174,0.6992957728580746,0.7007346790751078,264467,0.6538390764064883,0.6993753451376732
10,0.001,0.7031816843230737,56.46585988998413,0.6472057746102267,0.2419499664946374,0.11651436551496341,1.2991599966032232,0.6976251049090582,0.6987336656550363,0.7009774925854323,1416011,0.6519542223807184,0.6991016137612667,0.7068632381355708,4.839005708694458,0.6426352487682997,0.24040772312769512,0.11516031386651245,1.2903728621906445,0.7034253670520781,0.7034239556489382,0.7051558713539263,264467,0.6477376136139148,0.7046770661545385
11,0.001,0.7035849297780878,57.831982135772705,0.646031777944437,0.24129677349271206,0.11624423528644869,1.2968649491732098,0.6983401367239578,0.6991994872748956,0.7014434480701545,1416011,0.6508331706024026,0.6997930742202569,0.7062469041506123,4.849037170410156,0.6433312258926365,0.2426808613715302,0.11533325154383622,1.291562611252332,0.7017743276031609,0.7033508487704937,0.7043068607981927,264467,0.6482313836020969,0.7030750307651144
12,0.001,0.7032247630844676,57.42514181137085,0.6455891700313345,0.24135983579555464,0.1162470208650839,1.2958724844904275,0.6977202214579473,0.6987480837286397,0.7010306078187831,1416011,0.6502833140204382,0.6991965438295262,0.7063074031920806,4.651216983795166,0.6426938615591922,0.24290236149646144,0.11525996250548795,1.2901195417410893,0.6989952764475307,0.7038827150506548,0.7038245671010454,264467,0.6474256813413465,0.7004509256383895
13,0.001,0.7051152851213727,56.67318916320801,0.6429886475386981,0.24024953925154227,0.11563050076850807,1.2908677247627516,0.699798229303671,0.7007868045331355,0.7029604492212466,1416011,0.6478790771499061,0.701248649961447,0.7087992074625568,4.693292140960693,0.6378742780610942,0.2397837553534765,0.11417792869789839,1.280813539405944,0.7041435781713205,0.7050411035324463,0.7068251348977617,264467,0.6429392607904234,0.7054689389782496
14,0.001,0.7052035612717698,57.827454805374146,0.6427099854957808,0.2401622739816799,0.11560788391934769,1.2902315439231093,0.6999148457854223,0.7008943883168565,0.7030547578444318,1416011,0.6475215577143093,0.7013616088109967,0.7052222016357428,4.925128698348999,0.6457867921149216,0.23370192082949695,0.1157427624407568,1.295714759494951,0.700367040070073,0.7018307012068723,0.7032482805709604,264467,0.6499279703771987,0.7016849825407778
15,0.001,0.7054528531204913,58.15112066268921,0.6418304970269181,0.23971773156492548,0.11541280915180731,1.288466814573891,0.7001074187914352,0.701148547840078,0.7032925108009279,1416011,0.6466363171153897,0.701556964575139,0.7081261556262218,4.9095072746276855,0.6404204416462402,0.23926159847466566,0.11465640274816848,1.285926710164801,0.7023062170018836,0.7046704262146637,0.7059043764966119,264467,0.6455062667469327,0.7037158115630373
