epoch,lr,train_accuracy,train_elapsed_sec,train_loss,train_num_hits,val_accuracy,val_elapsed_sec,val_loss,val_num_hits
1,0.0003,0.7054782694346342,1197.2809891700745,0.6492004987688954,28396431,0.7141747604181321,252.43298196792603,0.631046713902037,5323963
2,0.0003,0.7148901564425473,1329.3363213539124,0.6297749496359776,28396431,0.717652808631465,254.4011585712433,0.6234875123941869,5323963
3,0.0003,0.716714188483757,1307.9059994220734,0.6252223960443791,28396431,0.7179540879604159,255.40468072891235,0.6211095771450643,5323963
4,0.0003,0.7179085287161615,1310.5555047988892,0.6224305732864857,28396431,0.7174653542858956,255.45720148086548,0.621273323874789,5323963
5,0.0003,0.7188045920277798,1308.2349014282227,0.6205211092844809,28396431,0.7173999894439537,253.65545511245728,0.6200389251445818,5323963
6,0.0003,0.7196577626251693,1136.9963204860687,0.618897101768729,28396431,0.7199931705009971,198.4339668750763,0.617305093775913,5323963
7,0.0003,0.7200814778448742,1119.5751259326935,0.618116241174349,28396431,0.7189003755285301,196.54756593704224,0.6205849877309719,5323963
8,0.0003,0.7203753880197128,1158.0375530719757,0.6174610719472218,28396431,0.720399258973062,247.61712908744812,0.6165250488806282,5323963
9,0.0003,0.7208122034772609,1224.9803531169891,0.6164316842628298,28396431,0.721426689103587,193.78826713562012,0.6149872854176107,5323963
10,0.0003,0.7209943390421142,1077.2007694244385,0.6160985435561714,28396431,0.72090508517809,193.61105036735535,0.6150108095618402,5323963
11,0.0003,0.7214625316822385,1077.5306415557861,0.615291793062811,28396431,0.7205562848577273,193.87002205848694,0.615601056730572,5323963
12,0.0003,0.7214675675263557,1142.3943438529968,0.615076256238373,28396431,0.7214116627031405,247.0258915424347,0.6140079869420589,5323963
13,0.0003,0.7215512047975324,1245.3242008686066,0.614793574275329,28396431,0.7215698155678392,246.57791447639465,0.6133213875286584,5323963
14,0.0003,0.7218362054020099,1241.8448264598846,0.6142120035600633,28396431,0.7214116627031405,246.75103116035461,0.614541569491048,5323963
15,0.0003,0.7220997596493728,1246.6057839393616,0.6137923832433135,28396431,0.7216505824702388,241.02373147010803,0.615371560523085,5323963
16,0.0003,0.7223517279336971,1247.0591912269592,0.613531741672185,28396431,0.7208397203361481,247.07594347000122,0.6157385746646727,5323963
17,0.0003,0.7223031302771816,1244.988805770874,0.6134467630910756,28396431,0.7200694294832628,244.76268315315247,0.6170677644379422,5323963
18,0.0003,0.7225342156554815,1240.7576732635498,0.6128556123096008,28396431,0.7215053898759252,244.74029088020325,0.6143753427549618,5323963
19,0.0003,0.7225037188652335,1240.534019947052,0.612730841361038,28396431,0.7216601618005234,245.14410853385925,0.613617078492712,5323963
20,0.0003,0.7228602073267588,1241.0499868392944,0.6124398814775518,28396431,0.7207696597440666,243.84357523918152,0.6157437699513016,5323963
