epoch,lr,train_accuracy,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_num_hits,train_origin_ce,train_weighted_f1,val_accuracy,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_num_hits,val_origin_ce,val_weighted_f1
1,0.001,0.6020826870470121,28.654099941253662,0.8596285926489335,0.33217144493952744,0.15970262361445037,1.7257271220378019,0.5748285599987919,0.5863504340671155,0.5975472493005947,283672,0.8660985278659318,0.5778430036096968,0.6603051265043116,1.0420644283294678,0.7719302624060195,0.29458330960665946,0.14096369498035055,1.5481639063732213,0.6509086145993687,0.6506217553473167,0.6575606912682436,52765,0.7762336450539008,0.6528878708546196
2,0.001,0.6629699089088806,24.680452346801758,0.7585425456278941,0.2878815438506468,0.1383018130833663,1.5209693617072584,0.6544436207379264,0.6541616944225325,0.6601910895243447,283672,0.7624268152561213,0.6564720318382192,0.6710887899175589,1.0202147960662842,0.7344476814627207,0.27129984979950106,0.133603808749776,1.471883747207828,0.6613621936106021,0.6632027681731855,0.6683805930417316,52765,0.7374360631181653,0.6631821034538087
3,0.001,0.6752446487492597,26.09782123565674,0.72297383771164,0.27236388292752045,0.13139037950658686,1.4505582587025119,0.6677578536211417,0.6681260849086383,0.6726622416928637,283672,0.7275844214432564,0.6695835850731466,0.673552544300199,1.0937836170196533,0.7144314970267979,0.27528715736067577,0.12983644089856486,1.4333568320086383,0.668058021303232,0.6674506343442022,0.6714557149678245,52765,0.7189253338098549,0.6696296947494562
4,0.001,0.6752728503341888,24.52655053138733,0.7120596584573604,0.2687409125190085,0.12965897547592278,1.4291274601167547,0.6678118795215564,0.6682563701178091,0.672689163943755,283672,0.7170678004621409,0.6696265049891106,0.6719795318866673,1.1086351871490479,0.7142142404049796,0.25539109890725076,0.13017174116056315,1.4323481993201694,0.6684687741152051,0.6678129463481787,0.6703098626093064,52765,0.7181339606068027,0.6699086326299406
5,0.001,0.6792316478186075,26.27717161178589,0.7016875636486121,0.2648344102899917,0.1278431019466704,1.408225989128634,0.6731591399511232,0.672993432891429,0.6768892033525971,283672,0.7065384254045894,0.6748665430051284,0.6775514071827916,1.1452441215515137,0.696785136803986,0.256661167209051,0.12700446883779018,1.399991325294871,0.6685468455116502,0.6703315837389076,0.6749877636560289,52765,0.7032061838419146,0.6702805286215464
