epoch,lr,train_accuracy,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_num_hits,train_origin_ce,train_weighted_f1,val_accuracy,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_num_hits,val_origin_ce,val_weighted_f1
1,0.001,0.49555219577370696,2.4965012073516846,1.0358626059115066,0.4090894435634132,0.19725030659005083,2.0780454310413186,0.4351867244115151,0.47576086099404363,0.48912405083609517,28441,1.0421828239080018,0.43972621612854634,0.5651697699890471,0.1323533058166504,0.9215053369111935,0.36788950825682,0.17155800878664315,1.8410878468926435,0.5071411017598663,0.5291646722375234,0.5549279249120381,5478,0.9195825134306417,0.5145946030310377
2,0.001,0.5874266024401392,2.5795962810516357,0.8832573188407056,0.3445967596862174,0.16478348873312818,1.7687977878551377,0.5359341481650978,0.5646430579613816,0.5810981999899815,28441,0.8855404620545142,0.5404424200555853,0.6062431544359255,0.13816499710083008,0.8561415713213795,0.322668073918533,0.15746330857200752,1.7182689188344062,0.5685861832778513,0.590664294376194,0.5977487059842413,5478,0.8621273561740888,0.5748607949641614
3,0.001,0.6210400478182905,2.5688486099243164,0.8295552638264372,0.31943334663644846,0.15426444458190677,1.6620586391223104,0.5983300096672446,0.601201973500853,0.6162008179193115,28441,0.8325033788187947,0.6016710558222145,0.6338079591091639,0.12609148025512695,0.8091772117180387,0.3033020700545327,0.149310605432505,1.6110304800773807,0.5993661408692484,0.6101604873939527,0.625239354240533,5478,0.8018532650951227,0.6053946034315565
4,0.001,0.6418902288949052,2.6126928329467773,0.8016365993932885,0.3039489083804434,0.1470960544222585,1.604867339624617,0.6238372226521262,0.6264554416920407,0.6375694423490711,28441,0.8032307428635649,0.626828254672791,0.6467688937568455,0.1335146427154541,0.781427746197306,0.297670785910285,0.14325809045162632,1.5668885924164158,0.6316873497246062,0.6312039256016103,0.6407898755308175,5478,0.7854608314866,0.6361633351819733
5,0.001,0.6487816884075807,2.8286030292510986,0.7872854185076706,0.3026626273837213,0.1444863356910008,1.5780934492271956,0.6364293749385747,0.6363566847149357,0.6451512872308928,28441,0.7908080242541993,0.6390522197466209,0.6500547645125958,0.13587164878845215,0.7708920774210888,0.2978731105529117,0.14106450094010065,1.545695977843822,0.6316623555419928,0.6335358325373709,0.6435300645570722,5478,0.7748039005315404,0.6363222118164753
6,0.001,0.6552512218276432,2.6333041191101074,0.7746543288964401,0.2960433061139199,0.1419008891958924,1.5530701072058184,0.6440839999282569,0.6442241100399428,0.6517001165184723,28441,0.7784157789380971,0.6466045010168604,0.6489594742606791,0.13040399551391602,0.7674853527424065,0.2912544073083402,0.14051187556752456,1.5404113024723447,0.6371029119450384,0.6361874482185627,0.6435421763664473,5478,0.7729259417761238,0.6412397283555882
7,0.001,0.6610175450933512,2.4760091304779053,0.7590801989050138,0.2899538233762535,0.1386427168168623,1.5217890565704937,0.6516829439240838,0.6512001644582623,0.6578150648534087,28441,0.7627088584513785,0.6540444338871729,0.6527929901423878,0.11826515197753906,0.7490677807552182,0.29114192281110135,0.13676077561869854,1.5029956405508382,0.6420286162569777,0.6407400725966674,0.647659972545946,5478,0.753927854746961,0.6460199483807892
8,0.001,0.6627052494638023,2.604328155517578,0.754205477348356,0.2899974093178037,0.1375544559395094,1.5106451548184068,0.6525886302371388,0.6532080044542924,0.6593649659537989,28441,0.756439679251421,0.6549247022164583,0.6566265060240963,0.11601138114929199,0.7483105983295419,0.2790570352423709,0.13703455624325991,1.5019307285819274,0.649414165244324,0.6485380860783888,0.6523364317399064,5478,0.7536201177830677,0.6529560772239862
9,0.001,0.6685770542526634,2.6077961921691895,0.7436501383959571,0.28188614827032554,0.13550506167823448,1.4904972720546883,0.6606161439539529,0.6603120803556503,0.6656150059641758,28441,0.7468471386088446,0.6627997228106067,0.6558963125228185,0.12847471237182617,0.752077006888938,0.28522819190858356,0.1376419096475167,1.5070945324798535,0.6499051389872573,0.6487910724955,0.6519365761153287,5478,0.7550175044278935,0.6533704986412864
10,0.001,0.6709328082697514,2.5819218158721924,0.7377724856329989,0.2762694590901537,0.13427443315911688,1.480031971518012,0.6637743267333825,0.6634902292812456,0.6681091724882583,28441,0.742259488187172,0.6658437565088731,0.6714129244249726,0.1363070011138916,0.7361525858828255,0.2882957190231669,0.13412629720469643,1.47728317099011,0.6619388786692112,0.66211646947828,0.6667402268283732,5478,0.7411305875445683,0.6654551570451163
11,0.001,0.6742027354875004,2.5924737453460693,0.7291789264946538,0.27734717929469294,0.13238163928226146,1.461948352489855,0.6672949924493338,0.667054576523841,0.6714281727324787,28441,0.7327694307305023,0.6693206563665486,0.6646586345381527,0.11863827705383301,0.7369222682773218,0.2722034535978388,0.13510120605118914,1.4787920778491455,0.6471774621071129,0.6521604158450692,0.6583298925839797,5478,0.7418698150883543,0.6514360678299915
12,0.001,0.6724798706093316,2.7749876976013184,0.7268333754772619,0.2764041399481905,0.13236181114781512,1.457207596835186,0.6642655961766909,0.6646648612011731,0.6694385384499677,28441,0.7303742197976535,0.6664035959986039,0.6725082146768894,0.12541890144348145,0.7208368179897359,0.26900023430335607,0.1320040271001691,1.447591337987044,0.6597820426195917,0.6622776312014302,0.6670953318060375,5478,0.7267545242951968,0.6635300580361168
13,0.001,0.6772265391512253,2.656142473220825,0.7168307091676251,0.27110070773698974,0.1302459228239349,1.437607656865301,0.6686993640562798,0.6698926464822145,0.6742164963053242,28441,0.7207769497934052,0.6707824185976501,0.6730558598028478,0.11327290534973145,0.7238537630337614,0.2726748716704991,0.13238020156934863,1.452688141585528,0.6635959264791446,0.6640068132784794,0.6683697795264444,5478,0.7288343713487226,0.6669905591460615
14,0.001,0.6794416511374424,2.4830827713012695,0.7129941677039973,0.26982779942406016,0.12963342870540465,1.4299541366137616,0.6709705498263911,0.6723964215669063,0.6764192609476184,28441,0.7169599645925614,0.6730226545126452,0.6699525374224169,0.13652586936950684,0.7185102916952031,0.2626983500328887,0.13119227140761067,1.4424913923380887,0.6663510578219788,0.6665991862566858,0.6669861330600325,5478,0.7239810930590161,0.6691701662739602
15,0.001,0.6794064906297247,2.6144795417785645,0.7113010328644074,0.26883587128998865,0.1291067920097872,1.4261533692413642,0.6733652657575808,0.6729897371014998,0.6768027557239642,28441,0.7148523439027217,0.6752971070454235,0.6732384081781673,0.11870121955871582,0.7261324404973799,0.270626333972297,0.13291094848201326,1.4556713757309525,0.6663533205027165,0.6656550895860215,0.6691923339799115,5478,0.7295389483339728,0.6695491077973118
16,0.001,0.6833093069863929,2.534762382507324,0.7043289082625643,0.26599213056249804,0.1275126725054882,1.4123220370228349,0.6761109845110268,0.6766989167928412,0.6804711025056976,28441,0.7079931315811226,0.6780822870821253,0.674333698430084,0.1418132781982422,0.7133308215792399,0.25977069288546606,0.13055437861344335,1.4318853742930957,0.666847443119943,0.6669691615425863,0.6702066598545868,5478,0.7185545452496743,0.6700707474438666
