epoch,lr,train_accuracy,train_elapsed_sec,train_loss,train_num_hits,val_accuracy,val_elapsed_sec,val_loss,val_num_hits
1,0.0003,0.5463175780478863,15.983683347702026,0.9523001004337908,283672,0.5706244669762153,1.8567125797271729,0.9079654441505182,52765
2,0.0003,0.5750373671000311,15.15904951095581,0.8930824312980467,283672,0.5838339808585237,1.8325302600860596,0.878447861035695,52765
3,0.0003,0.5862228207225246,15.17218279838562,0.87324216327745,283672,0.5963612242964086,1.8494937419891357,0.8642175617494098,52765
4,0.0003,0.604761837615274,15.294838190078735,0.8469665810455727,283672,0.6202596418080166,1.8788480758666992,0.8287737361279798,52765
5,0.0003,0.6234735892157139,15.400842428207397,0.8182108613212953,283672,0.6276509049559367,1.8890190124511719,0.8113249962209899,52765
6,0.0003,0.6410537522208748,15.340015172958374,0.7883770392118259,283672,0.6521747370415996,1.8508360385894775,0.7825541761659575,52765
7,0.0003,0.6496376096336615,15.244675159454346,0.7709687631772137,283672,0.6478347389367952,1.846618413925171,0.7754755871144333,52765
8,0.0003,0.6545482106094362,15.161526679992676,0.7599778523707886,283672,0.6386809438074481,1.8422818183898926,0.7825253613495797,52765
9,0.0003,0.6570687272624721,15.165291786193848,0.7525932333233866,283672,0.6539372690230266,1.834261178970337,0.7603258086501349,52765
10,0.0003,0.6622507684931893,15.127247095108032,0.7407398249495613,283672,0.6577655642945134,1.831212043762207,0.748426761053235,52765
