epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
11,0.001,0.5946761240878888,0.6375,0.47368421052631576,0.7857142857142857,0.6731646451167762,2.1593692302703857,0.8405648071318865,0.24537672936287042,0.12343126026424761,2.480971708893776,80,24531,0.8595403090119362,0.8916666666666667,0.21540394143667072,0.675,0.675,0.43022727272727274,0.6,0.4444444444444444,0.8333333333333334,0.6514766563971838,0.10403108596801758,0.9437089085578918,0.2810509974915873,0.14007547544992782,2.717078177134196,15,4400,1.0075974225997926,0.8666666666666667,0.2285903642574946,0.6,0.6
12,0.001,0.5691573926868044,0.7,0.631578947368421,0.7619047619047619,0.6036450454033911,2.1986308097839355,0.8492465395480394,0.25119325590407743,0.12273869497220052,2.4383336171507835,80,24531,0.8893337026238441,0.9,0.1922166597796604,0.7,0.7,0.6277272727272727,0.7333333333333333,0.7777777777777778,0.6666666666666666,0.5534012635548909,0.09323787689208984,0.786966860294342,0.21700708075003192,0.11744066385128958,2.258257428805033,15,4400,0.8245930214722951,0.9333333333333333,0.18659249370296796,0.8,0.8
13,0.001,0.604581957523134,0.7125,0.5526315789473685,0.8571428571428571,0.597305879718624,2.2016541957855225,0.8127738580107688,0.23196622959704227,0.11864878955228797,2.3439548775553702,80,24531,0.8381188090890646,0.8916666666666667,0.19151266562985256,0.675,0.675,0.6277272727272727,0.7333333333333333,0.8888888888888888,0.5,0.6357736031214396,0.09773850440979004,0.7860188206036886,0.22852170162241567,0.11501518863591959,2.367698152860006,15,4400,0.8386064032713573,0.9111111111111111,0.21459870959321659,0.7333333333333333,0.7333333333333333
14,0.001,0.6113896702131997,0.7125,0.6842105263157895,0.7380952380952381,0.6138606747728772,2.1712498664855957,0.7944025289267301,0.23522883670952846,0.11431953982007736,2.338996525108814,80,24531,0.8325232762843371,0.9083333333333333,0.1964200509013608,0.725,0.725,0.6129545454545454,0.8,0.8888888888888888,0.6666666666666666,0.6140276665488879,0.08876252174377441,0.7695686598618825,0.21953310676596383,0.11408748048188334,2.29449303150177,15,4400,0.8081102669239044,0.9111111111111111,0.20557285534838834,0.7333333333333333,0.7333333333333333
15,0.001,0.6286331580449227,0.7375,0.8421052631578947,0.6428571428571429,0.5604034343268722,2.20889949798584,0.8031610608100891,0.22735741598862888,0.11847264839400892,2.283289637416601,80,24531,0.8294428728520871,0.9208333333333333,0.18056450565345586,0.7625,0.7625,0.6486363636363637,0.7333333333333333,0.7777777777777778,0.6666666666666666,0.5588938350478808,0.08971405029296875,0.7511233667532603,0.22893192750147798,0.1087570045769892,2.188109103838603,15,4400,0.782130487759908,0.8888888888888888,0.19192280781765778,0.6666666666666666,0.6666666666666666
16,0.001,0.6294484529778648,0.7875,0.7368421052631579,0.8333333333333334,0.5252805743832141,2.127394437789917,0.7806200288236141,0.23395877431996573,0.11346202683110568,2.1963851124048235,80,24531,0.8020820572972298,0.925,0.17680494752712547,0.775,0.775,0.6454545454545455,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.6209496974945068,0.09973311424255371,0.7489206314086914,0.2200044192814014,0.10944660254669461,2.2649564345677695,15,4400,0.79178240497907,0.8888888888888888,0.20660742707550525,0.6666666666666666,0.6666666666666666
17,0.001,0.642656230891525,0.775,0.7631578947368421,0.7857142857142857,0.4816697630099952,2.194831132888794,0.7666439838707447,0.21827176508420562,0.11130970246817425,2.1108583018183706,80,24531,0.7839335519820452,0.925,0.15722197626018897,0.775,0.775,0.6306818181818182,0.7333333333333333,0.6666666666666666,0.8333333333333334,0.6927071824669838,0.095184326171875,0.7632253050804139,0.22232065623456782,0.1110032126925547,2.368433968226115,15,4400,0.8015766938527426,0.9111111111111111,0.2218496245642503,0.7333333333333333,0.7333333333333333
18,0.001,0.6363376951612246,0.8,0.7631578947368421,0.8333333333333334,0.4520249477820471,2.172550678253174,0.7595565516501666,0.22674976619599302,0.11020016256073054,2.0627247005701066,80,24531,0.7772706329822541,0.9375,0.14774510678253136,0.8125,0.8125,0.5877272727272728,0.6666666666666666,0.7777777777777778,0.5,0.7128924491504828,0.09141850471496582,0.813940046230952,0.23152266526086765,0.1183425983414054,2.5094923893610637,15,4400,0.8625820914904276,0.8888888888888888,0.24015558805937567,0.6666666666666666,0.6666666666666666
19,0.001,0.625045860339978,0.825,0.8421052631578947,0.8095238095238095,0.3985695607028902,2.1888904571533203,0.7963483106344939,0.22380068186157406,0.11728466309795033,2.0815076678991318,80,24531,0.8187436539679765,0.9416666666666667,0.1356922653998481,0.825,0.825,0.5518181818181818,0.6,0.4444444444444444,0.8333333333333334,0.9121981563667456,0.09175467491149902,0.8231608192125957,0.2492789927971634,0.12064928567375649,2.766882054011027,15,4400,0.881394378344218,0.8444444444444444,0.3002573524912198,0.5333333333333333,0.5333333333333333
20,0.001,0.6178712649300885,0.8375,0.7894736842105263,0.8809523809523809,0.4297642784047639,2.1942336559295654,0.7697279546409845,0.23540230102918785,0.1119914454719342,2.0597340628504752,80,24531,0.7884476605802775,0.9375,0.14358836406318004,0.8125,0.8125,0.6418181818181818,0.7333333333333333,0.8888888888888888,0.5,0.7729339399685462,0.08876323699951172,0.7610697547594706,0.2185068500956351,0.10981104358353398,2.479900050163269,15,4400,0.816698416074117,0.9111111111111111,0.25839585832630596,0.7333333333333333,0.7333333333333333
