epoch,lr,train_accuracy,train_elapsed_sec,train_loss,train_num_hits,val_accuracy,val_elapsed_sec,val_loss,val_num_hits
1,0.0003,0.6830863005284009,1807.2305686473846,0.6938343673990351,28396431,0.7029222404438198,312.3849287033081,0.6527374603934359,5323963
2,0.0003,0.7055135203434544,1866.4490902423859,0.648622719456327,28396431,0.7084358024276277,368.38267636299133,0.6412498124331469,5323963
3,0.0003,0.7084672366044874,1833.8990485668182,0.6423287754784536,28396431,0.7101069259872768,366.8696253299713,0.6374590857525378,5323963
4,0.0003,0.7100990966083026,1797.4752252101898,0.6387287929278986,28396431,0.7101520051886161,365.1355023384094,0.6370079831015665,5323963
5,0.0003,0.7110381582812291,1816.1461350917816,0.6369155910704847,28396431,0.7103774011953126,364.5857708454132,0.6372968685293008,5323963
6,0.0003,0.7119761634833617,1777.4920949935913,0.6347733699144792,28396431,0.7116736160638232,304.54733991622925,0.6344803161954278,5323963
7,0.0003,0.7124923903289114,1687.7669937610626,0.6334860222665658,28396431,0.7100654155560435,364.6376724243164,0.6353079791830312,5323963
8,0.0003,0.7128003163496145,1746.756766319275,0.6325564259852761,28396431,0.7130761427154922,304.006769657135,0.6315679913872371,5323963
9,0.0003,0.7133416167686707,1842.5312633514404,0.6312288303816596,28396431,0.7127036758144262,365.5271270275116,0.6305903958894271,5323963
10,0.0003,0.7138461872197953,1774.4161596298218,0.6302916345661899,28396431,0.7135626224299455,304.82129979133606,0.6292636380251971,5323963
11,0.0003,0.7143024417399496,1664.5487332344055,0.6291528930479346,28396431,0.7135733287402636,304.52423191070557,0.6292206710162028,5323963
12,0.0003,0.7143826278732,1736.1040828227997,0.6286419238891995,28396431,0.7135248685988238,365.1366820335388,0.6283208630968032,5323963
13,0.0003,0.7145391968448429,1770.9990556240082,0.6280815360965446,28396431,0.714797980376648,365.14690494537354,0.6264405920572315,5323963
14,0.0003,0.7149279428812727,1812.4453463554382,0.6273333348565305,28396431,0.7137286641548786,365.4851472377777,0.6285293739405288,5323963
15,0.0003,0.7151305387638327,1750.392656803131,0.6268870083312843,28396431,0.7143451222331936,299.92222118377686,0.6266832859079157,5323963
16,0.0003,0.7154190609376228,1706.6385679244995,0.6263890234163443,28396431,0.7146109016910899,366.30408453941345,0.6271382768022572,5323963
17,0.0003,0.7155423158635675,1841.9868049621582,0.6259808973941433,28396431,0.7101119973974275,365.1248300075531,0.6387154700331644,5323963
18,0.0003,0.7158271403895793,1831.7751531600952,0.6255237913368026,28396431,0.7135994371110392,305.92866945266724,0.6283470289347486,5323963
19,0.0003,0.7158948249517695,1723.998383283615,0.6253532498681758,28396431,0.7149835564221615,310.59109902381897,0.6253262682902998,5323963
20,0.0003,0.7160766435753845,1814.2102448940277,0.624862250023505,28396431,0.7147654857856826,366.3660910129547,0.6266669317833963,5323963
