epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
1,0.001,0.5341254191315346,0.50125,0.48883374689826303,0.5138539042821159,0.7661898651905358,14.717363119125366,0.9076585967093707,0.265278060087066,0.13183610529624779,2.7723802526295187,800,240378,0.9644131134450435,0.8266666666666667,0.2682373528229073,0.48625,0.48375,0.5923736975746432,0.43333333333333335,1.0,0.0,0.8773435737689336,1.567420482635498,0.8453380153576533,0.234794798505193,0.12400223901582591,2.7532455293337503,150,45684,0.8924014127254486,0.8111111111111111,0.2763250789542993,0.43333333333333335,0.43333333333333335
2,0.001,0.6015650350697651,0.57,0.5682382133995038,0.5717884130982368,0.6947885404713452,15.810031414031982,0.808207301646471,0.23614475569407128,0.11856168385424207,2.4675367847085,800,240378,0.8495055884867907,0.8604166666666667,0.23007072689943014,0.58125,0.58125,0.528062341301112,0.6,0.12307692307692308,0.9647058823529412,0.6503118340174358,1.4198687076568604,0.8882682720820109,0.25253335790715675,0.12474172090363449,2.5689597113927207,150,45684,0.9224948887030283,0.8644444444444445,0.2157694121201833,0.5933333333333334,0.5933333333333334
3,0.001,0.6040111823877393,0.645,0.5880893300248139,0.7027707808564232,0.6439313225774095,16.170520067214966,0.7940167275816202,0.2335662305046855,0.11592425367520227,2.380522459745407,800,240378,0.8362314213439822,0.8795833333333334,0.21268596866400913,0.63875,0.63875,0.5937089571841345,0.66,0.9384615384615385,0.4470588235294118,0.5966395057241122,1.3945419788360596,0.8035144329071044,0.2331285327643602,0.11968188345198737,2.3369696911176048,150,45684,0.8373133925596873,0.8911111111111111,0.1990047071998318,0.6733333333333333,0.6733333333333333
4,0.001,0.5957200742164425,0.63375,0.6054590570719603,0.6624685138539043,0.6747485867375508,15.582600355148315,0.8119282322749496,0.23683655026200004,0.1188938872291049,2.453325880095363,800,240378,0.8537813033536077,0.8733333333333333,0.2257355158450082,0.62,0.62,0.6085500394011032,0.7066666666666667,0.8461538461538461,0.6,0.6157529785235722,1.5089998245239258,0.8179059515396754,0.23547141822380346,0.12065761277732462,2.3783621756235758,150,45684,0.8434429446856181,0.9066666666666666,0.20252062007784843,0.72,0.72
5,0.001,0.6102638344607244,0.685,0.684863523573201,0.6851385390428212,0.6013131624867674,15.64423394203186,0.7927141209319234,0.2321160786991513,0.11613327058169759,2.3275809736549853,800,240378,0.8332565186172723,0.89625,0.20059434684808367,0.68875,0.68875,0.6043472550564749,0.7533333333333333,0.8,0.7176470588235294,0.4883980310832461,1.379164695739746,0.8212141482035319,0.2340176742716028,0.11739249742602041,2.2379418929417927,150,45684,0.8469014680385589,0.9177777777777778,0.16285649267956614,0.7533333333333333,0.7533333333333333
6,0.001,0.6084333840867301,0.7025,0.707196029776675,0.6977329974811083,0.5838225400215015,16.02088761329651,0.7926727786287665,0.23302176967036956,0.11574235080206344,2.305604144632816,800,240378,0.8324434155225754,0.90125,0.19333083807257936,0.70375,0.70375,0.6207862709044742,0.74,0.9846153846153847,0.5529411764705883,0.5855379960685968,1.34625244140625,0.7935002313057582,0.22858856199851502,0.11771747492734569,2.3021818089485167,150,45684,0.8269993547598521,0.9111111111111111,0.1922884661347295,0.7333333333333333,0.7333333333333333
7,0.001,0.6119944420870462,0.67375,0.7047146401985112,0.6423173803526449,0.6458958390075713,14.956171035766602,0.7971478475630284,0.2315339831153643,0.11684382379330323,2.383382813036442,800,240378,0.8363633858039975,0.89625,0.2079514835212467,0.68875,0.68875,0.5966859294282462,0.7266666666666667,0.8153846153846154,0.6588235294117647,0.5516453978419303,1.3341388702392578,0.8145651898781459,0.2287571379873618,0.11980407002022612,2.3052831880251565,150,45684,0.8492449331283569,0.9111111111111111,0.17965533524751665,0.7333333333333333,0.7333333333333333
8,0.001,0.6167286523725133,0.77875,0.8114143920595533,0.7455919395465995,0.5080558496180493,15.144904613494873,0.7882079543545842,0.23099274553388868,0.11544409067961535,2.2077799811959267,800,240378,0.8282700999081135,0.9245833333333333,0.1664921650022734,0.77375,0.77375,0.6198231328254968,0.7333333333333333,0.7538461538461538,0.7176470588235294,0.5678551434911787,1.7573509216308594,0.8132419834534327,0.22343679853830714,0.1172671050254721,2.3249100534121196,150,45684,0.8499460770686468,0.9044444444444445,0.18773371296624342,0.7133333333333334,0.7133333333333334
9,0.001,0.6150313256620822,0.77,0.7866004962779156,0.7531486146095718,0.5537641358064138,14.305961847305298,0.7856081942655146,0.22911158511573432,0.11450185599336109,2.258128048405051,800,240378,0.8262435054779053,0.9241666666666667,0.18502443214398226,0.7725,0.7725,0.5778390683828036,0.6533333333333333,0.6461538461538462,0.6588235294117647,0.619362765699625,1.295551061630249,0.8502242896954219,0.22753121096468928,0.1231771588914906,2.4601120503743488,150,45684,0.8868496902783711,0.88,0.20735061233242352,0.64,0.64
10,0.001,0.6294502824717736,0.78,0.8039702233250621,0.7556675062972292,0.4852502254475257,14.022602558135986,0.7749774975888432,0.22392155289196689,0.11296542753551726,2.151416968628764,800,240378,0.8113367379643023,0.93,0.1597050189912261,0.79,0.79,0.6180938621836967,0.72,0.9076923076923077,0.5764705882352941,0.6310683612370243,1.3046178817749023,0.7905071941018105,0.22708234098697438,0.1147307081500057,2.3380464895566306,150,45684,0.8151026968161265,0.9066666666666666,0.2027364863269031,0.72,0.72
