epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
1,0.001,0.3995789964139813,0.4975,0.5186104218362283,0.4760705289672544,0.772136858664453,13.96608018875122,1.0441856445372104,0.3088497291865713,0.15447695444608558,2.329379967749119,800,240378,1.0477156963199377,0.8320833333333333,0.41525629059411584,0.49625,0.49625,0.38989580597145607,0.43333333333333335,1.0,0.0,0.8201401635011037,1.3613219261169434,1.0777842144171397,0.3035666591875733,0.15883344175549602,2.3775867430369058,150,45684,1.0751898050308228,0.8555555555555555,0.30292345901330314,0.5666666666666667,0.5666666666666667
2,0.001,0.40110159831598563,0.52,0.533498759305211,0.5062972292191436,0.7075638134777545,14.16955828666687,1.0325999125838279,0.3069469135734955,0.15369220289422608,2.259064959138632,800,240378,1.033367569670081,0.8329166666666666,0.2579235187545419,0.49875,0.49875,0.39606864547762893,0.5666666666666667,0.0,1.0,0.6885586680968603,1.36887526512146,1.0463406972090403,0.3122283198952508,0.1539390853294419,2.2786374537150067,150,45684,1.0461373178164164,0.8555555555555555,0.24223853886127472,0.5666666666666667,0.5666666666666667
3,0.001,0.4013096040403032,0.495,0.4838709677419355,0.5062972292191436,0.7112142642214895,15.165597438812256,1.0323000299185514,0.3076911686638169,0.15346343709248483,2.25529043585062,800,240378,1.0333546186238527,0.8333333333333334,0.23696465122513474,0.5,0.5,0.3897206899570966,0.43333333333333335,1.0,0.0,0.7028616305192311,1.42695951461792,1.0464975142478943,0.3086718087374157,0.1548189878882559,2.2825315141677858,150,45684,1.0481261312961578,0.8111111111111111,0.2366776959101359,0.43333333333333335,0.43333333333333335
4,0.001,0.39932106931582756,0.5525,0.5955334987593052,0.5088161209068011,0.7053361272066831,14.26714301109314,1.0318709878623487,0.3075480475907828,0.1534716172336933,2.253107320815325,800,240378,1.0329798372089862,0.8429166666666666,0.23594634724780916,0.52875,0.52875,0.39606864547762893,0.5666666666666667,0.0,1.0,0.6854315702120463,1.2657153606414795,1.045355642636617,0.3100524969081277,0.15437950372856402,2.273913688659668,150,45684,1.0455011800924936,0.8555555555555555,0.22985270847876868,0.5666666666666667,0.5666666666666667
5,0.001,0.40008237026682975,0.4925,0.6476426799007444,0.3350125944584383,0.6991467578709125,14.062856674194336,1.0309918661415578,0.3067862706204016,0.15356349406330302,2.249320539534092,800,240378,1.0314896998554468,0.83,0.2350481080636382,0.49,0.49,0.39606864547762893,0.43333333333333335,1.0,0.0,0.7046190520127614,1.2499921321868896,1.049095272620519,0.30748099081492886,0.15535730980049628,2.2872129090627036,150,45684,1.0498610719045003,0.8111111111111111,0.23666371842225392,0.43333333333333335,0.43333333333333335
6,0.001,0.4014510479328391,0.49625,0.533498759305211,0.45843828715365237,0.7028376962989569,14.211711645126343,1.0300187227129936,0.30737300557516883,0.15331211037198805,2.247466858625412,800,240378,1.0301371258497238,0.8370833333333333,0.2337173492088914,0.51125,0.51125,0.38996147447684093,0.43333333333333335,1.0,0.0,0.6952545416355133,1.2861058712005615,1.0462426567077636,0.30869595975038644,0.15478887718939685,2.2782333286603293,150,45684,1.0463406256834666,0.8111111111111111,0.2329956892132759,0.43333333333333335,0.43333333333333335
7,0.001,0.4027698042250123,0.48375,0.49379652605459057,0.473551637279597,0.6999877908080816,14.421183824539185,1.0302926522493363,0.30747119752985475,0.15329218117691013,2.247253510951996,800,240378,1.0302033408731222,0.8283333333333334,0.23379979729652406,0.485,0.485,0.39606864547762893,0.5666666666666667,0.0,1.0,0.685635221004486,1.3707194328308105,1.044879560470581,0.30976227484072644,0.15437629645519568,2.272699714501699,150,45684,1.0451711130142212,0.8555555555555555,0.22760992765426635,0.5666666666666667,0.5666666666666667
8,0.001,0.4022872309445956,0.47875,0.5161290322580645,0.44080604534005036,0.7037660351768136,14.303480386734009,1.0308591239154339,0.30711674572774517,0.15344134730491024,2.249886729866266,800,240378,1.030977760180831,0.8225,0.23648321248590945,0.4675,0.4675,0.38989580597145607,0.43333333333333335,1.0,0.0,0.7171641329924265,1.280837059020996,1.046096569697062,0.30877779314855325,0.15476922978020055,2.2854597600301108,150,45684,1.0464211146036784,0.8111111111111111,0.24754625340302785,0.43333333333333335,0.43333333333333335
9,0.001,0.39996172694672555,0.47625,0.5930521091811415,0.35768261964735515,0.698149460926652,13.965268850326538,1.031774593666196,0.3074367387283075,0.1535125946459576,2.2494824999570846,800,240378,1.0316264371573924,0.8329166666666666,0.2322578591480851,0.49875,0.49875,0.3893485684265826,0.43333333333333335,1.0,0.0,0.6991162113348643,1.2833483219146729,1.0420149691899618,0.3089715896837923,0.15420097284258408,2.2716898719469705,150,45684,1.0428475447495777,0.8111111111111111,0.23502056688070297,0.43333333333333335,0.43333333333333335
10,0.001,0.40150096930667534,0.50375,0.7295285359801489,0.27455919395465994,0.6999804098531603,14.133053302764893,1.0310906307399272,0.3072269613355323,0.15344462823470661,2.2488061738014222,800,240378,1.0310329584032296,0.8333333333333334,0.23343249501660465,0.5,0.5,0.38989580597145607,0.5666666666666667,0.0,1.0,0.6857148170471191,1.2368955612182617,1.0445720227559407,0.31034941454308324,0.15420252788626326,2.2727548344930013,150,45684,1.0446840186913808,0.8111111111111111,0.23177913069725037,0.43333333333333335,0.43333333333333335
11,0.001,0.401509289535648,0.51875,0.5186104218362283,0.5188916876574308,0.6948699501156806,14.176822423934937,1.0298912496864796,0.3074996819568059,0.15321878340311906,2.2446421886980534,800,240378,1.0299003720283508,0.8429166666666666,0.22938286780379713,0.52875,0.52875,0.3910997285701777,0.5533333333333333,0.7538461538461538,0.4,0.6846336241563161,1.2402737140655518,1.045259133974711,0.30763885978876465,0.15465513322570545,2.271509528954824,150,45684,1.0454406054814656,0.8622222222222222,0.2194153396288554,0.5866666666666667,0.5866666666666667
12,0.001,0.40179217732071987,0.5275,0.6129032258064516,0.44080604534005036,0.6920407394878566,14.031803846359253,1.0288797601312398,0.30703328612782305,0.1531624780621351,2.2425864996016025,800,240378,1.0290402322262526,0.84375,0.2312918307608925,0.53125,0.53125,0.38989580597145607,0.43333333333333335,1.0,0.0,0.6938634101549784,1.2584373950958252,1.0472823731104532,0.3081754874446202,0.15504096892269545,2.2799041358629863,150,45684,1.0475747060775757,0.8111111111111111,0.23137190421422324,0.43333333333333335,0.43333333333333335
13,0.001,0.40236627311983625,0.4975,0.6253101736972705,0.3677581863979849,0.6985771910846234,14.181711196899414,1.0307148745656014,0.30728134006178265,0.15335427048830916,2.247311992794275,800,240378,1.0305444733053446,0.8316666666666667,0.23168604169040918,0.495,0.495,0.39606864547762893,0.5666666666666667,0.0,1.0,0.6824235808849335,1.3875150680541992,1.0444834061463675,0.3104367121804899,0.1541692973355515,2.2711528539657593,150,45684,1.0446459619204203,0.8555555555555555,0.2276938662926356,0.5666666666666667,0.5666666666666667
14,0.001,0.40012397141169326,0.51125,0.47146401985111663,0.5516372795969773,0.6977199155837297,14.132225751876831,1.0300910741090774,0.307633907700216,0.15325327266879962,2.2461546996235846,800,240378,1.0299677020311355,0.8425,0.23275970276445151,0.5275,0.5275,0.39606864547762893,0.5666666666666667,0.0,1.0,0.6801354010899862,1.2843189239501953,1.0467030743757884,0.3079739559385376,0.15499121921603248,2.273970329761505,150,45684,1.0458312257130942,0.8555555555555555,0.227044764260451,0.5666666666666667,0.5666666666666667
15,0.001,0.4017297756034246,0.525,0.48883374689826303,0.5617128463476071,0.692381611727178,14.11595106124878,1.029014093503356,0.30718953771680907,0.15316136602329156,2.2427186845242977,800,240378,1.0289583538472653,0.8433333333333334,0.2313495791144669,0.53,0.53,0.39606864547762893,0.5733333333333334,0.676923076923077,0.49411764705882355,0.6866931426525116,1.3308696746826172,1.0515178644657135,0.3060129552521187,0.15587826486291714,2.286970238685608,150,45684,1.0532419761021932,0.8555555555555555,0.22435888906319937,0.5666666666666667,0.5666666666666667
16,0.001,0.40132208438376227,0.55,0.6352357320099256,0.4634760705289673,0.6914985867962241,14.341423749923706,1.029604978710413,0.30666360262490366,0.15330332955958986,2.243468734025955,800,240378,1.0296100805699826,0.85375,0.22976980169303715,0.56125,0.56125,0.39606864547762893,0.5266666666666666,0.9384615384615385,0.21176470588235294,0.709685595035553,1.3558886051177979,1.0488093197345734,0.30603848639887066,0.15557691374843066,2.286912216345469,150,45684,1.0500166424115498,0.8511111111111112,0.23074567983547847,0.5533333333333333,0.5533333333333333
17,0.001,0.4003735782808743,0.55875,0.5062034739454094,0.6120906801007556,0.6913514599576592,13.60509204864502,1.0295620492100717,0.3073019641749286,0.15321099026895427,2.243412591814995,800,240378,1.0296676867455243,0.8516666666666667,0.22956281730905176,0.555,0.555,0.38989580597145607,0.43333333333333335,0.9846153846153847,0.011764705882352941,0.6940077642599741,1.3318047523498535,1.0504309364159903,0.30722765594840873,0.15562566803802036,2.286419247786204,150,45684,1.0513318832715353,0.8555555555555555,0.22927432388067245,0.5666666666666667,0.5666666666666667
