epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
1,0.001,0.35766988708165176,0.4,0.6578947368421053,0.16666666666666666,1.0960918627679348,2.2588682174682617,1.1161171235144138,0.3178753584950141,0.1588901245475209,3.6507271260023115,80,24531,1.1817310445010663,0.7875,0.5135741401463747,0.4375,0.4125,0.16113636363636363,0.4,0.0,1.0,0.8665210604667664,0.09675025939941406,1.0456435322761535,0.3142536548796025,0.15097919700836593,3.2014005978902182,15,4400,1.1462939659754434,0.8,0.28588404655456545,0.4,0.4
2,0.001,0.3740165504871387,0.4375,0.10526315789473684,0.7380952380952381,0.7941132567822933,2.3763813972473145,1.0397879160940646,0.3097479594810278,0.1528374663849159,3.067143499851227,80,24531,1.1048314236104488,0.8416666666666667,0.2568218084052205,0.525,0.525,0.4218181818181818,0.6,1.0,0.0,0.6726027528444926,0.09691166877746582,0.9686323523521423,0.29478617221794345,0.14271469774571333,2.810654815038045,15,4400,1.0500763694445292,0.8,0.2386866589387258,0.4,0.4
3,0.001,0.4675716440422323,0.525,0.6052631578947368,0.4523809523809524,0.7076093722134829,2.1493706703186035,0.9866563320159912,0.2942256328388353,0.14521233965289865,2.880162325501442,80,24531,1.0645209223031997,0.8375,0.24275136664509772,0.5125,0.5125,0.605,0.4,0.0,1.0,0.7381381193796793,0.09050798416137695,0.8802248001098633,0.2666674610430544,0.12599130488254806,2.7306976318359375,15,4400,0.9848501086235046,0.8,0.2549691557884216,0.4,0.4
4,0.001,0.5353226529697118,0.55,0.23684210526315788,0.8333333333333334,0.7333832055330276,2.2399301528930664,0.9276791103184223,0.26526793203256305,0.132382365475515,2.7692106664180756,80,24531,0.9782092854380607,0.8333333333333334,0.25987809151411057,0.5,0.5,0.5713636363636364,0.4,0.0,1.0,0.7766167124112447,0.0914604663848877,0.8379518409570058,0.2470907838608731,0.12188921399583871,2.6413569927215574,15,4400,0.8906074206034342,0.8,0.272361954053243,0.4,0.4
5,0.001,0.5912518853695324,0.55,0.3157894736842105,0.7619047619047619,0.6550803251564503,2.2143239974975586,0.8378292303532362,0.24545318800212654,0.12162465820717154,2.4730735674500464,80,24531,0.8695285022258759,0.875,0.22127100471407174,0.625,0.625,0.6102272727272727,0.6,1.0,0.0,0.6688890834649404,0.11121439933776855,0.7837700645128886,0.23052023779262196,0.11390103715217927,2.4103884220123293,15,4400,0.8446101705233257,0.8666666666666667,0.22623811860879262,0.6,0.6
